  0.2940000E+01  0.0000000E+00
  0.4900000E+01  0.1221355E+01
  0.6860000E+01  0.1221039E+01
  0.8820000E+01  0.1220489E+01
  0.1078000E+02  0.1220368E+01
  0.1274000E+02  0.1220253E+01
  0.1482333E+02  0.1236173E+01
  0.1899000E+02  0.1234750E+01
  0.2315667E+02  0.1235068E+01
  0.2732333E+02  0.1235042E+01
  0.3149000E+02  0.1234569E+01
  0.3565667E+02  0.1232352E+01
  0.3982333E+02  0.1232407E+01
  0.4399000E+02  0.1232005E+01
  0.4815667E+02  0.1235093E+01
  0.5232333E+02  0.1233769E+01
  0.5649000E+02  0.1233004E+01
  0.6065667E+02  0.1236273E+01
  0.6482333E+02  0.1237772E+01
  0.6899000E+02  0.1235468E+01
  0.7315667E+02  0.1237866E+01
  0.8406000E+02  0.0000000E+00
  0.8210000E+02  0.1221159E+01
  0.8014000E+02  0.1220865E+01
  0.7818000E+02  0.1220876E+01
  0.7622000E+02  0.1220301E+01
  0.7426000E+02  0.1218883E+01
