  0.2940000E+01  0.0000000E+00
  0.4900000E+01  0.2221008E+01
  0.6860000E+01  0.2221318E+01
  0.8820000E+01  0.2220494E+01
  0.1078000E+02  0.2219630E+01
  0.1274000E+02  0.2218870E+01
  0.1482333E+02  0.2238852E+01
  0.1899000E+02  0.2238599E+01
  0.2315667E+02  0.2239052E+01
  0.2732333E+02  0.2238486E+01
  0.3149000E+02  0.2237135E+01
  0.3565667E+02  0.2235107E+01
  0.3982333E+02  0.2233841E+01
  0.4399000E+02  0.2231881E+01
  0.4815667E+02  0.2235968E+01
  0.5232333E+02  0.2234035E+01
  0.5649000E+02  0.2232655E+01
  0.6065667E+02  0.2237321E+01
  0.6482333E+02  0.2238996E+01
  0.6899000E+02  0.2238747E+01
  0.7315667E+02  0.2240389E+01
  0.8406000E+02  0.0000000E+00
  0.8210000E+02  0.2221714E+01
  0.8014000E+02  0.2221871E+01
  0.7818000E+02  0.2222538E+01
  0.7622000E+02  0.2220043E+01
  0.7426000E+02  0.2219856E+01
