  0.1000000E-05 -0.1852270E-16 -0.1852272E-16  0.1830034E-22
  0.1010000E-03 -0.1521488E-16 -0.1896964E-16  0.3754756E-17
  0.2010000E-03 -0.1549224E-16 -0.1921595E-16  0.3723707E-17
  0.3010000E-03 -0.1537348E-16 -0.1910579E-16  0.3732319E-17
  0.4010000E-03 -0.1540039E-16 -0.1913137E-16  0.3730981E-17
  0.5010000E-03 -0.1565973E-16 -0.1939119E-16  0.3731463E-17
  0.6010000E-03 -0.1596154E-16 -0.1969351E-16  0.3731973E-17
  0.7010000E-03 -0.1615914E-16 -0.1988872E-16  0.3729584E-17
  0.8010000E-03 -0.1619131E-16 -0.1991826E-16  0.3726953E-17
  0.9010000E-03 -0.1609328E-16 -0.1981946E-16  0.3726173E-17
  0.1001000E-02 -0.1593732E-16 -0.1966190E-16  0.3724578E-17
  0.1101000E-02 -0.1565560E-16 -0.1937827E-16  0.3722670E-17
  0.1201000E-02 -0.1529344E-16 -0.1901651E-16  0.3723077E-17
  0.1301000E-02 -0.1495521E-16 -0.1867564E-16  0.3720430E-17
  0.1401000E-02 -0.1452258E-16 -0.1824757E-16  0.3724986E-17
  0.1501000E-02 -0.1439516E-16 -0.1811978E-16  0.3724615E-17
  0.1601000E-02 -0.1407138E-16 -0.1779361E-16  0.3722231E-17
  0.1701000E-02 -0.1392476E-16 -0.1765152E-16  0.3726768E-17
  0.1801000E-02 -0.1392539E-16 -0.1765320E-16  0.3727809E-17
  0.1901000E-02 -0.1386878E-16 -0.1759393E-16  0.3725155E-17
  0.2001000E-02 -0.1369270E-16 -0.1741833E-16  0.3725627E-17
  0.2101000E-02 -0.1355110E-16 -0.1727647E-16  0.3725370E-17
  0.2201000E-02 -0.1353585E-16 -0.1726595E-16  0.3730097E-17
  0.2301000E-02 -0.1356865E-16 -0.1729293E-16  0.3724280E-17
  0.2401000E-02 -0.1325237E-16 -0.1697974E-16  0.3727374E-17
  0.2501000E-02 -0.1340129E-16 -0.1713080E-16  0.3729509E-17
  0.2601000E-02 -0.1358324E-16 -0.1731063E-16  0.3727386E-17
  0.2701000E-02 -0.1348922E-16 -0.1721769E-16  0.3728466E-17
  0.2801000E-02 -0.1365378E-16 -0.1738282E-16  0.3729038E-17
  0.2901000E-02 -0.1359016E-16 -0.1731972E-16  0.3729561E-17
  0.3001000E-02 -0.1370222E-16 -0.1742662E-16  0.3724401E-17
  0.3101000E-02 -0.1341223E-16 -0.1714323E-16  0.3730998E-17
  0.3201000E-02 -0.1342614E-16 -0.1715360E-16  0.3727461E-17
  0.3301000E-02 -0.1335712E-16 -0.1708433E-16  0.3727210E-17
  0.3401000E-02 -0.1332427E-16 -0.1705427E-16  0.3730005E-17
  0.3501000E-02 -0.1326096E-16 -0.1698763E-16  0.3726667E-17
  0.3601000E-02 -0.1325731E-16 -0.1698214E-16  0.3724831E-17
  0.3701000E-02 -0.1324865E-16 -0.1698245E-16  0.3733806E-17
  0.3801000E-02 -0.1325132E-16 -0.1697546E-16  0.3724131E-17
  0.3901000E-02 -0.1329911E-16 -0.1703206E-16  0.3732949E-17
  0.4001000E-02 -0.1344844E-16 -0.1717593E-16  0.3727491E-17
  0.4101000E-02 -0.1353043E-16 -0.1726087E-16  0.3730440E-17
  0.4201000E-02 -0.1358591E-16 -0.1731318E-16  0.3727262E-17
  0.4301000E-02 -0.1364657E-16 -0.1737484E-16  0.3728266E-17
  0.4401000E-02 -0.1357453E-16 -0.1730086E-16  0.3726329E-17
  0.4501000E-02 -0.1342896E-16 -0.1715480E-16  0.3725839E-17
  0.4601000E-02 -0.1331796E-16 -0.1704417E-16  0.3726213E-17
  0.4701000E-02 -0.1324227E-16 -0.1696963E-16  0.3727361E-17
  0.4801000E-02 -0.1315790E-16 -0.1688444E-16  0.3726533E-17
  0.4901000E-02 -0.1301303E-16 -0.1673735E-16  0.3724324E-17
  0.5001000E-02 -0.1287971E-16 -0.1660753E-16  0.3727823E-17
  0.5101000E-02 -0.1287472E-16 -0.1652173E-16  0.3647007E-17
  0.5201000E-02 -0.1287275E-16 -0.1641030E-16  0.3537550E-17
  0.5301000E-02 -0.1287247E-16 -0.1641889E-16  0.3546423E-17
  0.5401000E-02 -0.1286601E-16 -0.1634950E-16  0.3483491E-17
  0.5501000E-02 -0.1286618E-16 -0.1632810E-16  0.3461922E-17
  0.5601000E-02 -0.1286515E-16 -0.1625538E-16  0.3390234E-17
  0.5701000E-02 -0.1286104E-16 -0.1619127E-16  0.3330232E-17
  0.5801000E-02 -0.1286435E-16 -0.1624879E-16  0.3384433E-17
  0.5901000E-02 -0.1286274E-16 -0.1614761E-16  0.3284874E-17
  0.6001000E-02 -0.1286042E-16 -0.1614552E-16  0.3285098E-17
  0.6101000E-02 -0.1285892E-16 -0.1610317E-16  0.3244251E-17
  0.6201000E-02 -0.1285789E-16 -0.1605244E-16  0.3194550E-17
  0.6301000E-02 -0.1286007E-16 -0.1601515E-16  0.3155076E-17
  0.6401000E-02 -0.1285886E-16 -0.1605232E-16  0.3193465E-17
  0.6501000E-02 -0.1286087E-16 -0.1607591E-16  0.3215048E-17
  0.6601000E-02 -0.1286720E-16 -0.1600071E-16  0.3133512E-17
  0.6701000E-02 -0.1286374E-16 -0.1598167E-16  0.3117929E-17
  0.6801000E-02 -0.1286137E-16 -0.1602036E-16  0.3158989E-17
  0.6901000E-02 -0.1286108E-16 -0.1599715E-16  0.3136073E-17
  0.7001000E-02 -0.1285671E-16 -0.1602973E-16  0.3173026E-17
  0.7101000E-02 -0.1285438E-16 -0.1596693E-16  0.3112547E-17
  0.7201000E-02 -0.1285179E-16 -0.1606933E-16  0.3217542E-17
  0.7301000E-02 -0.1285817E-16 -0.1603408E-16  0.3175906E-17
  0.7401000E-02 -0.1285304E-16 -0.1596803E-16  0.3115000E-17
  0.7501000E-02 -0.1285098E-16 -0.1596273E-16  0.3111741E-17
  0.7601000E-02 -0.1284875E-16 -0.1598703E-16  0.3138288E-17
  0.7701000E-02 -0.1284747E-16 -0.1594131E-16  0.3093842E-17
  0.7801000E-02 -0.1284334E-16 -0.1597513E-16  0.3131790E-17
  0.7901000E-02 -0.1284716E-16 -0.1594405E-16  0.3096889E-17
  0.8001000E-02 -0.1285180E-16 -0.1596904E-16  0.3117242E-17
  0.8101000E-02 -0.1285069E-16 -0.1598548E-16  0.3134796E-17
  0.8201000E-02 -0.1284520E-16 -0.1593125E-16  0.3086048E-17
  0.8301000E-02 -0.1284422E-16 -0.1592598E-16  0.3081763E-17
  0.8401000E-02 -0.1284182E-16 -0.1593623E-16  0.3094404E-17
  0.8501000E-02 -0.1284096E-16 -0.1592177E-16  0.3080811E-17
  0.8601000E-02 -0.1284247E-16 -0.1592538E-16  0.3082908E-17
  0.8701000E-02 -0.1284276E-16 -0.1596983E-16  0.3127065E-17
  0.8801000E-02 -0.1284212E-16 -0.1596321E-16  0.3121089E-17
  0.8901000E-02 -0.1284344E-16 -0.1594755E-16  0.3104109E-17
  0.9001000E-02 -0.1284330E-16 -0.1593465E-16  0.3091348E-17
  0.9101000E-02 -0.1284075E-16 -0.1596803E-16  0.3127278E-17
  0.9201000E-02 -0.1283972E-16 -0.1592779E-16  0.3088073E-17
  0.9301000E-02 -0.1284211E-16 -0.1584964E-16  0.3007531E-17
  0.9401000E-02 -0.1284521E-16 -0.1585797E-16  0.3012760E-17
  0.9501000E-02 -0.1284926E-16 -0.1593660E-16  0.3087335E-17
  0.9601000E-02 -0.1284560E-16 -0.1588236E-16  0.3036760E-17
  0.9701000E-02 -0.1284382E-16 -0.1594832E-16  0.3104501E-17
  0.9801000E-02 -0.1284668E-16 -0.1589783E-16  0.3051151E-17
  0.9901000E-02 -0.1284622E-16 -0.1591283E-16  0.3066610E-17
  0.1000100E-01 -0.1284497E-16 -0.1589408E-16  0.3049106E-17
  0.1010100E-01 -0.1284533E-16 -0.1588481E-16  0.3039473E-17
  0.1020100E-01 -0.1284198E-16 -0.1589174E-16  0.3049755E-17
  0.1030100E-01 -0.1284373E-16 -0.1589182E-16  0.3048087E-17
  0.1040100E-01 -0.1284707E-16 -0.1582644E-16  0.2979370E-17
  0.1050100E-01 -0.1284597E-16 -0.1588382E-16  0.3037855E-17
  0.1060100E-01 -0.1284422E-16 -0.1596604E-16  0.3121816E-17
  0.1070100E-01 -0.1284330E-16 -0.1593541E-16  0.3092111E-17
  0.1080100E-01 -0.1284116E-16 -0.1586832E-16  0.3027152E-17
  0.1090100E-01 -0.1284100E-16 -0.1588598E-16  0.3044973E-17
  0.1100100E-01 -0.1284083E-16 -0.1585463E-16  0.3013798E-17
  0.1110100E-01 -0.1283714E-16 -0.1588497E-16  0.3047830E-17
  0.1120100E-01 -0.1283400E-16 -0.1581955E-16  0.2985544E-17
  0.1130100E-01 -0.1283131E-16 -0.1583831E-16  0.3007000E-17
  0.1140100E-01 -0.1282923E-16 -0.1589235E-16  0.3063129E-17
  0.1150100E-01 -0.1282896E-16 -0.1586800E-16  0.3039047E-17
  0.1160100E-01 -0.1283089E-16 -0.1587130E-16  0.3040409E-17
  0.1170100E-01 -0.1283286E-16 -0.1588504E-16  0.3052182E-17
  0.1180100E-01 -0.1282740E-16 -0.1585798E-16  0.3030585E-17
  0.1190100E-01 -0.1282429E-16 -0.1585757E-16  0.3033275E-17
  0.1200100E-01 -0.1282562E-16 -0.1588936E-16  0.3063740E-17
  0.1210100E-01 -0.1282823E-16 -0.1589869E-16  0.3070461E-17
  0.1220100E-01 -0.1282908E-16 -0.1590405E-16  0.3074970E-17
  0.1230100E-01 -0.1283239E-16 -0.1594990E-16  0.3117514E-17
  0.1240100E-01 -0.1283044E-16 -0.1591165E-16  0.3081204E-17
  0.1250100E-01 -0.1282660E-16 -0.1589515E-16  0.3068548E-17
  0.1260100E-01 -0.1282859E-16 -0.1582459E-16  0.2995997E-17
  0.1270100E-01 -0.1283190E-16 -0.1587424E-16  0.3042332E-17
  0.1280100E-01 -0.1283282E-16 -0.1587324E-16  0.3040420E-17
  0.1290100E-01 -0.1283839E-16 -0.1583360E-16  0.2995209E-17
  0.1300100E-01 -0.1283679E-16 -0.1590596E-16  0.3069172E-17
  0.1310100E-01 -0.1283349E-16 -0.1588461E-16  0.3051120E-17
  0.1320100E-01 -0.1283192E-16 -0.1597270E-16  0.3140781E-17
  0.1330100E-01 -0.1283640E-16 -0.1590961E-16  0.3073217E-17
  0.1340100E-01 -0.1283575E-16 -0.1591239E-16  0.3076645E-17
  0.1350100E-01 -0.1283357E-16 -0.1591150E-16  0.3077935E-17
  0.1360100E-01 -0.1283663E-16 -0.1593511E-16  0.3098486E-17
  0.1370100E-01 -0.1283948E-16 -0.1589902E-16  0.3059540E-17
  0.1380100E-01 -0.1284393E-16 -0.1592337E-16  0.3079438E-17
  0.1390100E-01 -0.1284912E-16 -0.1595229E-16  0.3103166E-17
  0.1400100E-01 -0.1284408E-16 -0.1590953E-16  0.3065449E-17
  0.1410100E-01 -0.1284246E-16 -0.1590733E-16  0.3064872E-17
  0.1420100E-01 -0.1284544E-16 -0.1590153E-16  0.3056091E-17
  0.1430100E-01 -0.1284550E-16 -0.1592864E-16  0.3083141E-17
  0.1440100E-01 -0.1284774E-16 -0.1592950E-16  0.3081766E-17
  0.1450100E-01 -0.1284844E-16 -0.1587955E-16  0.3031109E-17
  0.1460100E-01 -0.1284686E-16 -0.1585837E-16  0.3011508E-17
  0.1470100E-01 -0.1284439E-16 -0.1590803E-16  0.3063637E-17
  0.1480100E-01 -0.1284387E-16 -0.1588266E-16  0.3038794E-17
  0.1490100E-01 -0.1284394E-16 -0.1591951E-16  0.3075569E-17
  0.1500100E-01 -0.1284589E-16 -0.1584551E-16  0.2999617E-17
  0.1301000E-02 -0.1218753E-16 -0.1591689E-16  0.3729359E-17
  0.1401000E-02 -0.1204625E-16 -0.1577133E-16  0.3725082E-17
  0.1501000E-02 -0.1190408E-16 -0.1563023E-16  0.3726142E-17
